date_for_index,date,flow_avg,flow_max,flow_min,level_avg,level_max,level_min,concent_solids,water_temp_avg,water_temp_max,water_temp_min,year,month,tavg,tmin,tmax,prcp,snow,wspd,wpgt,kpi_comfort_high,kpi_comfort_moderate,kpi_safety,kpi_comfort_ice,swimming,swimming_moderate,ice_bath
1985-01-01,1985-01-01,18.0,19.9,16.8,38.0,41.0,36.0,5.31,3.8,3.8,3.8,1985,1,-2.4,-8.5,-1.0,1.2,50.0,14.4,50.4,0,0,1,0,0,0,0
1985-01-02,1985-01-02,17.1,21.3,15.5,37.0,43.0,34.0,5.28,2.5,2.5,2.5,1985,1,-4.0,-5.6,-0.5,4.5,80.0,13.7,50.4,0,0,1,0,0,0,0
1985-01-03,1985-01-03,24.1,32.4,20.6,47.0,57.0,42.0,5.54,2.4,2.4,2.4,1985,1,-6.8,-8.6,-5.6,1.5,87.77777777777777,14.0,46.8,0,0,1,0,0,0,0
1985-01-04,1985-01-04,23.5,29.8,18.6,46.0,54.0,39.0,6.98,2.3,2.3,2.3,1985,1,-9.5,-13.2,-6.0,4.3,95.55555555555556,12.6,64.8,0,0,1,0,0,0,0
1985-01-05,1985-01-05,23.7,36.8,20.6,46.0,62.0,42.0,8.54,2.1,2.1,2.1,1985,1,-11.4,-14.3,-10.4,1.3,103.33333333333333,8.6,21.6,0,0,1,0,0,0,0
1985-01-06,1985-01-06,20.7,24.3,16.2,42.0,47.0,35.0,10.11,1.8,1.8,1.8,1985,1,-13.6,-16.4,-9.4,0.0,111.11111111111111,5.4,16.2,0,0,1,0,0,0,0
1985-01-07,1985-01-07,19.7,27.3,16.2,40.0,51.0,35.0,11.68,1.1,1.1,1.1,1985,1,-18.7,-20.2,-15.1,0.0,118.88888888888889,3.6,12.6,0,0,1,0,0,0,0
1985-01-08,1985-01-08,31.7,42.6,19.9,56.0,68.0,41.0,13.25,1.2,1.2,1.2,1985,1,-18.4,-21.0,-17.1,0.0,126.66666666666667,5.0,18.0,0,0,1,0,0,0,0
1985-01-09,1985-01-09,39.5,50.6,33.3,65.0,76.0,58.0,14.82,1.2,1.2,1.2,1985,1,-15.6,-18.6,-11.0,0.0,134.44444444444446,5.4,21.6,0,0,1,0,0,0,0
1985-01-10,1985-01-10,36.8,47.5,26.6,62.0,73.0,50.0,16.04,1.1,1.1,1.1,1985,1,-11.0,-18.0,-7.2,0.3,142.22222222222223,4.0,16.2,0,0,1,0,0,0,0
1985-01-11,1985-01-11,29.4,37.8,22.9,53.0,63.0,45.0,15.62,1.8,1.8,1.8,1985,1,-9.4,-12.1,-6.5,0.0,150.0,3.6,11.9,0,0,1,0,0,0,0
1985-01-12,1985-01-12,28.2,29.1,27.3,52.0,53.0,51.0,15.01,1.7,1.7,1.7,1985,1,-9.0,-15.4,-6.4,2.6,150.0,6.8,25.2,0,0,1,0,0,0,0
1985-01-13,1985-01-13,23.1,27.3,18.1,45.0,51.0,38.0,14.4,1.5,1.5,1.5,1985,1,-11.6,-12.3,-7.0,0.1,147.77777777777777,6.5,28.8,0,0,1,0,0,0,0
1985-01-14,1985-01-14,17.3,18.1,15.6,37.0,38.0,34.0,13.79,1.8,1.8,1.8,1985,1,-11.2,-13.5,-10.3,0.5,145.55555555555554,7.9,43.2,0,0,1,0,0,0,0
1985-01-15,1985-01-15,18.5,19.3,17.5,39.0,40.0,37.0,13.18,1.9,1.9,1.9,1985,1,-10.0,-13.0,-7.5,0.0,143.33333333333334,4.7,23.4,0,0,1,0,0,0,0
